"country";"iucn_cat";"count";"area_ha"
"PRT";"III";33;8725.98640807606
"PRT";"IV";58;40985.9122473954
"PRT";"Not Applicable";152;2298804.05342215
"PRT";"Not Reported";1;4.96836817151009
"PRT";"V";43;494729.544417503
"PRT";"VI";46;104649.317711302
"PRY";"II";10;861105.052216367
"PRY";"III";2;4551.45543243193
"PRY";"IV";9;101145.180288436
"PRY";"Not Applicable";3;607488.207411335
"PRY";"Not Reported";6;703636.948443081
"PRY";"V";1;65144.0946190043
"PRY";"VI";2;92427.3377989392
"REU";"Ia";5;7935.19217272277
"REU";"II";1;105466.200352087
"REU";"IV";18;8467.08042630098
"REU";"V";1;87721.9672454282
"ROU";"Ia";55;217098.998124755
"ROU";"II";13;319374.97757029
"ROU";"III";179;17835.4323363655
"ROU";"IV";580;296413.207158918
"ROU";"Not Applicable";375;5050416.22211412
"ROU";"V";15;772755.143061539
"RUS";"Ia";86;15887010.338543
"RUS";"II";61;19079064.1880544
"RUS";"III";481;1508378.66350713
"RUS";"IV";1191;60660760.9461273
"RUS";"Not Applicable";69;39560911.4108946
"RUS";"Not Reported";169;19246821.1863302
"RUS";"V";115;1593799.95429947
"RUS";"VI";109;42817209.8156431
"RWA";"II";2;120257.275720853
"RWA";"IV";3;132854.290631962
"RWA";"Not Applicable";1;45564.4698079863
"SAU";"II";3;1446790.33146714
"SAU";"III";1;1220322.53580268
"SAU";"IV";2;1546843.38607554
"SAU";"Not Reported";1;6774.11871606769
"SAU";"VI";8;55477407.9735141
"SDN";"II";1;839973.063057826
"SEN";"II";2;837034.444391365
"SEN";"IV";3;1221746.60032521
"SEN";"Not Applicable";4;1681293.16376726
"SEN";"Not Reported";96;2664424.2372518
"SGP";"II";3;2968.88532220774
"SGP";"III";1;21.92968256821
"SGP";"Not Applicable";1;130.715188148008
"SGS";"Ia";2;2112.8169585853
"SHN";"Ia";2;16.3137408425034
"SHN";"II";1;47.0371052538194
"SHN";"III";2;505.654291574108
"SHN";"IV";5;466.746756150065
"SHN";"Not Reported";1;42.3309831046604
"SHN";"V";2;17.9185100935413
"SHN";"VI";1;152.825474771286
"SJM";"Ia";14;472415.603576415
"SJM";"II";1;123147.767020955
"SJM";"III";1;1659.44028544913
"SLE";"II";5;202071.286086299
"SLE";"IV";1;1250.83680612791
